{{Mod
|id                               = AttacksHaveBloodMagic__1
|mod_groups                       = AttacksHaveBloodMagic
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = AttacksHaveBloodMagic
|stat_text                        = [[Attack|Attacks]] Cost [[Life]] instead of [[Mana]]
|stat1_id                         = attacks_use_life_in_place_of_mana
|stat1_min                        = 1
|stat1_max                        = 1
|tags                             = attack
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 6
}}
