{{Base item
|rarity_id                               = normal
|name                                    = The Enthusiasts
|class_id                                = DivinationCard
|size_x                                  = 1
|size_y                                  = 1
|flavour_text                            = "Glimmers of benevolence,<br>Shrouded a lacquered lust for power,<br>Yet still they followed his influence."
|drop_level                              = 54
|tags                                    = armour_divination, unique_divination, corrupted_divination, unique_corrupted_divination, unique_armour_divination, divination_card, default
|metadata_id                             = Metadata/Items/DivinationCards/DivinationCardTheEnthusiasts
|stack_size                              = 3
|description                             = {{c|unique|{{il|html=|Victario's Influence}}}}<br>{{c|corrupted|[[Two-Implicit]]}}<br>{{c|corrupted|[[Corrupted]]}}
|stack_size_currency_tab                 = 5000
|help_text                               = Shift click to unstack.
}}
