{{Mod
|id                               = V2SupportedByFortifyCorrupted_
|mod_groups                       = SupportedByFortify
|domain                           = 1
|generation_type                  = 5
|required_level                   = 1
|granted_skill                    = SupportFortify
|mod_type                         = SupportedByFortify
|stat_text                        = [[Item socket|Socketed]] Gems are Supported by [[Fortify Support|Level 10 Fortify]]
|stat1_id                         = local_display_socketed_gems_supported_by_level_x_fortify
|stat1_min                        = 10
|stat1_max                        = 10
|spawn_weight1_tag                = bow
|spawn_weight1_value              = 0
|spawn_weight2_tag                = staff
|spawn_weight2_value              = 0
|spawn_weight3_tag                = two_hand_weapon
|spawn_weight3_value              = 1000
|spawn_weight4_tag                = default
|spawn_weight4_value              = 0
|tags                             = support, gem
}}
