{{Mod
|id                               = BarrageThresholdUnique__1
|mod_groups                       = PassiveJewelGrantsRadius
|domain                           = 10
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = BarrageThreshold
|stat_text                        = With at least 40 [[Dexterity]] in Radius, [[Barrage]] fires an additional 6 projectiles simultaneously on the first and final [[Attack|attacks]]
|stat1_id                         = local_unique_jewel_barrage_final_volley_fires_x_additional_projectiles_simultaneously_with_50_dex_in_radius
|stat1_min                        = 6
|stat1_max                        = 6
|stat2_id                         = local_jewel_effect_base_radius
|stat2_min                        = 1200
|stat2_max                        = 1200
|tags                             = attack
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 4
}}
