{{Mod
|id                               = WeaponTreeMinionAttackAndCastSpeed2h3
|mod_groups                       = MinionAttackSpeedAndCastSpeed
|domain                           = 1
|generation_type                  = 31
|required_level                   = 60
|mod_type                         = WeaponTreeMinionAttackSpeedAndCastSpeed
|stat_text                        = [[Minion|Minions]] have 22% increased [[Attack]] and [[Cast Speed]]
|stat1_id                         = minion_attack_and_cast_speed_+%
|stat1_min                        = 22
|stat1_max                        = 22
|spawn_weight1_tag                = one_hand_weapon
|spawn_weight1_value              = 0
|spawn_weight2_tag                = weapon_can_roll_minion_modifiers
|spawn_weight2_value              = 5000
|spawn_weight3_tag                = minion_unique_weapon
|spawn_weight3_value              = 5000
|spawn_weight4_tag                = default
|spawn_weight4_value              = 0
}}
