{{Base item
|rarity_id                               = normal
|name                                    = Checkmate
|class_id                                = DivinationCard
|size_x                                  = 1
|size_y                                  = 1
|flavour_text                            = When victory is impossible, each of us plays only to delay the end.
|drop_level                              = 68
|tags                                    = currency_divination, currency_league_divination, divination_card, default
|metadata_id                             = Metadata/Items/DivinationCards/DivinationCardCheckmate
|stack_size                              = 8
|description                             = {{c|currency|76x {{il|html=|Simulacrum Splinter}}}}
|stack_size_currency_tab                 = 5000
|help_text                               = Shift click to unstack.
}}
