{{Passive skill
|id                                  = Retaliation_node_5003
|int_id                              = 42106
|name                                = Retaliation Skill Damage and Stun Threshold
|icon                                = RetaliationNode5
|stat1_id                            = retaliation_skill_stun_threshold_+%
|stat1_value                         = -10
|stat2_id                            = retaliation_skill_damage_+%
|stat2_value                         = 15
|stat_text                           = Retaliation [[Skill|Skills]] have 10% reduced Enemy Stun Threshold<br>Retaliation [[Skill|Skills]] deal 15% increased Damage
|connections                         = Retaliation_node_5004,Retaliation_node_5001,Retaliation_node_5004
}}
