{{Mod
|id                               = FortifyOnMeleeStunUber1
|mod_groups                       = FortifyOnMeleeStun
|domain                           = 1
|generation_type                  = 1
|required_level                   = 68
|name                             = The Elder's
|mod_type                         = FortifyOnMeleeStun
|stat_text                        = Melee [[Hit|Hits]] which Stun have (8-12)% chance to Fortify
|stat1_id                         = chance_to_fortify_on_melee_stun_%
|stat1_min                        = 8
|stat1_max                        = 12
|spawn_weight1_tag                = belt_elder
|spawn_weight1_value              = 800
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 4
}}
