{{Mod
|id                               = NearbyAlliesMovementVelocityUnique__1
|mod_groups                       = NearbyAlliesMovementVelocity
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|granted_buff_id                  = unique_victarios_flight_movement_velocity
|granted_buff_value               = 50
|mod_type                         = NearbyAlliesMovementVelocity
|stat_text                        = 10% increased [[Movement Speed]] for you and {{Radius|nearby|5.0m}} Allies
|stat1_id                         = local_display_movement_speed_+%_for_you_and_nearby_allies
|stat1_min                        = 10
|stat1_max                        = 10
|tags                             = speed
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 6
}}
