{{Mod
|id                               = ElementalPenetrationUnique__1
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = ElementalPenetration
|mod_type                         = ElementalPenetration
|game_mode                        = 0
|stat_text                        = Damage Penetrates (0-20)% [[Elemental Resistance|Elemental Resistances]]
|stat1_id                         = reduce_enemy_elemental_resistance_%
|stat1_min                        = 0
|stat1_max                        = 20
|tags                             = elemental_damage, damage, elemental
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
