{{Passive skill
|id                                  = AscendancyCustomDeadeye8
|int_id                              = 53715
|name                                = breathe deep
|ascendancy_class                    = Deadeye
|is_notable                          = True
|icon                                = ManaFlasksOften
|stat1_id                            = non_instant_mana_recovery_from_flasks_also_recovers_life
|stat1_value                         = 1
|stat2_id                            = flask_mana_to_recover_+%
|stat2_value                         = 50
|stat_text                           = Non-instant [[Mana]] Recovery from [[Flask|Flasks]] is also Recovered as [[Life]]<br>50% increased [[Mana]] Recovery from [[Flask|Flasks]]
}}
