{{Mod
|id                               = StarterPassiveJewelUnique__14_
|domain                           = 10
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = StarterPassiveJewel
|mod_type                         = StarterPassiveJewel14
|game_mode                        = 0
|stat_text                        = While your [[Passive skill|Passive Skill]] Tree connects to the Scion's starting location, you gain:<br />30% increased Damage
|stat1_id                         = local_unique_jewel_damage_+%_with_passive_tree_connected_to_scion_start
|stat1_min                        = 30
|stat1_max                        = 30
|tags                             = damage
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
