{{Mod
|id                               = MapSimulacrumAttackSpeedAndMaim1_
|domain                           = 5
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = MapSimulacrumMonsterSpeedPlus
|mod_type                         = MapSimulacrumAttackSpeedAndMaim
|game_mode                        = 0
|stat_text                        = Monsters have 10% chance to Maim on [[Hit]] with [[Attack|Attacks]]
|stat1_id                         = map_monsters_maim_on_hit_%_chance
|stat1_min                        = 10
|stat1_max                        = 10
|tags                             = attack, speed
}}
