{{Mod
|id                               = WeaponTreeMineDetonateTwiceChance1
|mod_groups                       = WeaponTreeMineDetonateTwiceChance
|domain                           = 1
|generation_type                  = 31
|required_level                   = 1
|mod_type                         = WeaponTreeMineDetonateTwiceChance
|stat_text                        = [[Mine|Mines]] have a 10% chance to be Detonated an Additional Time<br>15% reduced [[Mana Reservation]] Efficiency of [[Skill|Skills]] that throw [[Mine|Mines]]
|stat1_id                         = mine_%_chance_to_detonate_twice
|stat1_min                        = 10
|stat1_max                        = 10
|stat2_id                         = mana_reservation_efficiency_+%_for_skills_that_throw_mines
|stat2_min                        = -15
|stat2_max                        = -15
|spawn_weight1_tag                = two_hand_weapon
|spawn_weight1_value              = 0
|spawn_weight2_tag                = caster_unique_weapon
|spawn_weight2_value              = 250
|spawn_weight3_tag                = attack_dagger
|spawn_weight3_value              = 0
|spawn_weight4_tag                = wand
|spawn_weight4_value              = 250
|spawn_weight5_tag                = sceptre
|spawn_weight5_value              = 250
|spawn_weight6_tag                = dagger
|spawn_weight6_value              = 250
|spawn_weight7_tag                = default
|spawn_weight7_value              = 0
}}
