{{Mod
|id                               = SpellImpaleEffectUnique__1
|mod_groups                       = ImpaleEffect
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = SpellImpaleEffect
|stat_text                        = (30-50)% increased Effect of Impales inflicted with [[Spell|Spells]]
|stat1_id                         = impale_effect_+%_for_impales_inficted_by_spells
|stat1_min                        = 30
|stat1_max                        = 50
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 6
}}
