{{Passive skill
|id                                  = affliction_notable_grand_design
|int_id                              = 13392
|name                                = Grand Design
|is_notable                          = True
|icon                                = BrandDmgNotable
|stat1_id                            = sigil_damage_+%
|stat1_value                         = 20
|stat2_id                            = sigil_target_search_range_+%
|stat2_value                         = 10
|stat3_id                            = sigil_duration_+%
|stat3_value                         = 10
|stat_text                           = 20% increased Brand Damage<br>10% increased Brand Attachment range<br>Brand [[Skill|Skills]] have 10% increased Duration
}}
