{{Base item
|rarity_id                               = normal
|name                                    = The Escape
|class_id                                = DivinationCard
|size_x                                  = 1
|size_y                                  = 1
|flavour_text                            = In fleeing reality, you step into the realm of madness.
|drop_level                              = 56
|tags                                    = armour_divination, unique_divination, unique_armour_divination, divination_card, default
|metadata_id                             = Metadata/Items/DivinationCards/DivinationCardTheEscape
|stack_size                              = 5
|description                             = {{c|unique|{{il|html=|Seven-League Step}}}}
|stack_size_currency_tab                 = 5000
|help_text                               = Shift click to unstack.
}}
