{{Passive skill
|id                                  = affliction_notable_powerful_assault
|int_id                              = 11661
|name                                = Powerful Assault
|is_notable                          = True
|icon                                = AreaDmgNotable
|stat1_id                            = area_damage_+%
|stat1_value                         = 20
|stat2_id                            = area_skill_knockback_chance_%
|stat2_value                         = 10
|stat_text                           = 20% increased Area Damage<br>Area [[Skill|Skills]] have 10% chance to Knock Enemies Back on [[Hit]]
}}
