{{Mod
|id                               = MapEnduranceChargesStrDexIntMission
|mod_groups                       = MapMonsterEndurance
|domain                           = 5
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = MapMonsterEnduranceMap2Tier
|stat_text                        = Monsters gain (1-3) [[Endurance Charge|Endurance Charges]] every 20 seconds
|stat1_id                         = map_monsters_gain_x_endurance_charges_every_20_seconds
|stat1_min                        = 1
|stat1_max                        = 3
|tags                             = endurance_charge
}}
