{{Mod
|id                               = DelveAbyssJewelSocket1
|mod_groups                       = AbyssJewelSocket
|domain                           = 16
|generation_type                  = 2
|required_level                   = 1
|name                             = of the Underground
|mod_type                         = AbyssJewelSocket
|stat_text                        = Has 1 Abyssal [[Item socket|Socket]]
|stat1_id                         = local_has_X_abyss_sockets
|stat1_min                        = 1
|stat1_max                        = 1
|spawn_weight1_tag                = abyss_jewel
|spawn_weight1_value              = 0
|spawn_weight2_tag                = jewel
|spawn_weight2_value              = 0
|spawn_weight3_tag                = weapon
|spawn_weight3_value              = 2000
|spawn_weight4_tag                = helmet
|spawn_weight4_value              = 2000
|spawn_weight5_tag                = boots
|spawn_weight5_value              = 2000
|spawn_weight6_tag                = gloves
|spawn_weight6_value              = 2000
|spawn_weight7_tag                = body_armour
|spawn_weight7_value              = 2000
|spawn_weight8_tag                = default
|spawn_weight8_value              = 0
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 6
}}
