{{Mod
|id                               = AddedPhysicalDamageEssenceRing7
|mod_groups                       = PhysicalDamage
|domain                           = 1
|generation_type                  = 1
|required_level                   = 82
|name                             = Essences
|mod_type                         = PhysicalDamage
|stat_text                        = Adds (10-11) to (16-17) [[Physical Damage]] to [[Attack|Attacks]]
|stat1_id                         = attack_minimum_added_physical_damage
|stat1_min                        = 10
|stat1_max                        = 11
|stat2_id                         = attack_maximum_added_physical_damage
|stat2_min                        = 16
|stat2_max                        = 17
|spawn_weight1_tag                = default
|spawn_weight1_value              = 0
|tags                             = physical_damage, damage, physical, attack
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 3
}}
