{{Mod
|id                               = TinctureIncreasedAilmentDuration4
|mod_groups                       = IncreasedAilmentDuration
|domain                           = 34
|generation_type                  = 2
|required_level                   = 82
|name                             = of the Beast
|mod_type                         = TinctureIncreasedAilmentDuration
|stat_text                        = (56-65)% increased Duration of Elemental Ailments from Melee Weapon [[Attack|Attacks]]
|stat1_id                         = elemental_ailment_duration_+%_with_tinctured_weapons
|stat1_min                        = 56
|stat1_max                        = 65
|spawn_weight1_tag                = tincture
|spawn_weight1_value              = 700
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = elemental, attack, ailment
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 1
}}
