{{Passive skill
|id                                  = AscendancyAscendant38
|int_id                              = 8281
|name                                = Elementalist
|reminder_text                       = (You can only take one of the three Witch Ascendancy passives)
|ascendancy_class                    = Ascendant
|is_multiple_choice_option           = True
|icon                                = Elementalist (Ascendants)
|stat1_id                            = exposure_you_inflict_applies_extra_%_to_affected_resistance
|stat1_value                         = -20
|stat2_id                            = shock_minimum_damage_taken_increase_%
|stat2_value                         = 10
|stat3_id                            = base_number_of_golems_allowed
|stat3_value                         = 1
|stat4_id                            = cannot_take_reflected_elemental_damage
|stat4_value                         = 1
|stat_text                           = Exposure you inflict applies an extra -20% to the affected Resistance<br>[[Shock|Shocks]] from your [[Hit|Hits]] always increase Damage taken by at least 10%<br>+1 to maximum number of Summoned Golems<br>Cannot take Reflected [[Elemental Damage]]
|connections                         = AscendancyAscendant27
}}
