{{Mod
|id                               = FlaskBuffAvoidChillFreeze4
|mod_groups                       = FlaskBuffWhileHealing
|domain                           = 2
|generation_type                  = 2
|required_level                   = 61
|name                             = of the Beluga
|mod_type                         = FlaskBuffAvoidChillFreeze
|stat_text                        = (46-50)% chance to Avoid being Chilled during Effect<br>(46-50)% chance to Avoid being [[Freeze|Frozen]] during Effect
|stat1_id                         = local_avoid_chill_%_during_flask_effect
|stat1_min                        = 46
|stat1_max                        = 50
|stat2_id                         = local_avoid_freeze_%_during_flask_effect
|stat2_min                        = 46
|stat2_max                        = 50
|spawn_weight1_tag                = utility_flask
|spawn_weight1_value              = 600
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = flask
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 1
}}
