{{Mod
|id                               = AddedColdDamageQuiver4__
|mod_groups                       = ColdDamage
|domain                           = 1
|generation_type                  = 1
|required_level                   = 29
|name                             = Frigid
|mod_type                         = ColdDamage
|stat_text                        = Adds (10-13) to (19-22) [[Cold Damage]] to [[Attack|Attacks]]
|stat1_id                         = attack_minimum_added_cold_damage
|stat1_min                        = 10
|stat1_max                        = 13
|stat2_id                         = attack_maximum_added_cold_damage
|stat2_min                        = 19
|stat2_max                        = 22
|spawn_weight1_tag                = quiver
|spawn_weight1_value              = 250
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = elemental_damage, damage, elemental, cold, attack
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 1
}}
