{{Mod
|id                               = FlaskEnchantmentSealIncreasedEffect_
|mod_groups                       = FlaskEnchantment
|domain                           = 1
|generation_type                  = 21
|required_level                   = 1
|mod_type                         = FlaskEnchantmentEnkindlingEffect
|stat_text                        = Gains no [[Charge|Charges]] during Effect<br>(60-70)% increased effect
|stat1_id                         = local_flask_cannot_gain_charges_during_flask_effect
|stat1_min                        = 1
|stat1_max                        = 1
|stat2_id                         = local_flask_effect_+%
|stat2_min                        = 60
|stat2_max                        = 70
|spawn_weight1_tag                = flask
|spawn_weight1_value              = 250
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
}}
