{{Mod
|id                               = FlaskCurseImmunityUnique___1
|domain                           = 2
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = FlaskCurseImmunity
|mod_type                         = FlaskCurseImmunity
|game_mode                        = 0
|stat_text                        = Removes [[Curse|Curses]] on use
|stat1_id                         = local_flask_remove_curses_on_use
|stat1_min                        = 1
|stat1_max                        = 1
|tags                             = flask, caster, curse
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 5
}}
