{{Mod
|id                               = SynthesisImplicitDexterityGemQuality1
|mod_groups                       = SocketedGemQuality
|domain                           = 1
|generation_type                  = 3
|required_level                   = 40
|mod_type                         = SocketedDexterityGemQuality
|stat_text                        = +(2-3)% to Quality of [[Item socket|Socketed]] [[Dexterity]] Gems
|stat1_id                         = local_socketed_dexterity_gem_quality_+
|stat1_min                        = 2
|stat1_max                        = 3
|tags                             = attribute, gem
}}
