{{Mod
|id                               = JunMasterColdAndChaosDamageResistance2
|mod_groups                       = ColdAndChaosDamageResistance
|domain                           = 9
|generation_type                  = 2
|required_level                   = 38
|name                             = of the Order
|mod_type                         = ColdAndChaosDamageResistance
|stat_text                        = +(10-12)% to Cold and [[Chaos Resistance|Chaos Resistances]]
|stat1_id                         = cold_and_chaos_damage_resistance_%
|stat1_min                        = 10
|stat1_max                        = 12
|spawn_weight1_tag                = body_armour
|spawn_weight1_value              = 0
|spawn_weight2_tag                = boots
|spawn_weight2_value              = 0
|spawn_weight3_tag                = gloves
|spawn_weight3_value              = 0
|spawn_weight4_tag                = helmet
|spawn_weight4_value              = 0
|spawn_weight5_tag                = shield
|spawn_weight5_value              = 0
|spawn_weight6_tag                = amulet
|spawn_weight6_value              = 0
|spawn_weight7_tag                = ring
|spawn_weight7_value              = 0
|spawn_weight8_tag                = belt
|spawn_weight8_value              = 0
|spawn_weight9_tag                = quiver
|spawn_weight9_value              = 0
|spawn_weight10_tag               = default
|spawn_weight10_value             = 0
|tags                             = unveiled_mod, elemental, cold, chaos, resistance
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 3
}}
