{{Mod
|id                               = SacrificeLifeToGainArrowUnique__1
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = SacrificeLifeToGainArrow
|mod_type                         = SacrificeLifeToGainArrow
|game_mode                        = 0
|stat_text                        = [DNT] [[Bow]] [[Attack|Attacks]] Sacrifice (5-7)% of your [[Life]] to fire an additional Arrow for every 100 [[Life]] Sacrificed
|stat1_id                         = sacrifice_%_life_to_fire_additional_arrow_for_each_100_life
|stat1_min                        = 5
|stat1_max                        = 7
|tags                             = bow, attack
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 4
}}
