{{Passive skill
|id                                  = affliction_notable_dark_messenger
|int_id                              = 8897
|name                                = Dark Messenger
|is_notable                          = True
|icon                                = DmgHeraldSkillsNotable
|stat1_id                            = damage_+%_with_herald_skills
|stat1_value                         = 20
|stat2_id                            = area_of_effect_+%_with_herald_skills
|stat2_value                         = 25
|stat_text                           = Herald [[Skill|Skills]] deal 20% increased Damage<br>Herald [[Skill|Skills]] have 25% increased Area of Effect
}}
