{{Mod
|id                               = ColdAndLightningResistUnique__2
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = ColdAndLightningResistance
|mod_type                         = ColdAndLightningResistance
|game_mode                        = 0
|stat_text                        = +(15-20)% to Cold and [[Lightning Resistance|Lightning Resistances]]
|stat1_id                         = cold_and_lightning_damage_resistance_%
|stat1_min                        = 15
|stat1_max                        = 20
|tags                             = elemental, cold, lightning, resistance
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 3
}}
