{{Mod
|id                               = MinionsGainYourStrengthUnique__1
|mod_groups                       = MinionsGainYourStrength
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = MinionsGainYourStrength
|stat_text                        = Half of your [[Strength]] is added to your [[Minion|Minions]]
|stat1_id                         = minions_gain_your_strength
|stat1_min                        = 1
|stat1_max                        = 1
|tags                             = minion, attribute
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
