{{Item
|rarity_id                               = normal
|name                                    = Lonely Warrior
|class_id                                = DivinationCard
|size_x                                  = 1
|size_y                                  = 1
|flavour_text                            = A true warrior fights<br>for those who cannot<br>fight for themselves.
|drop_level                              = 75
|tags                                    = jewellery_divination, unique_divination, unique_jewellery_divination, divination_card, default
|metadata_id                             = Metadata/Items/DivinationCards/DivinationCardLonelyWarrior
|stack_size                              = 10
|description                             = {{c|unique|{{il|html=|Defiance of Destiny}}}}
|stack_size_currency_tab                 = 5000
}}
