{{Passive skill
|id                                  = AscendancyCustomAscendant48
|int_id                              = 39144
|name                                = Fury Valve
|ascendancy_class                    = Ascendant
|is_multiple_choice_option           = True
|icon                                = PerandusNotable2 (AtlasTrees)
|stat1_id                            = modifiers_to_number_of_projectiles_instead_apply_to_splitting
|stat1_value                         = 1
|stat2_id                            = number_of_additional_projectiles
|stat2_value                         = 2
|stat_text                           = Modifiers to number of Projectiles instead apply<br />to the number of targets Projectiles Split towards<br>[[Skill|Skills]] fire 2 additional Projectiles
}}
