{{Base item
|rarity_id                               = normal
|name                                    = Tattoo of the Ngamahu Warmonger
|class_id                                = StackableCurrency
|size_x                                  = 1
|size_y                                  = 1
|drop_level                              = 1
|tags                                    = currency, default
|metadata_id                             = Metadata/Items/Currency/AncestralTattooNgamahu4
|stack_size                              = 10
|help_text                               = Right click this item then left click a valid Passive Skill. Maximum 50 Tattoos.<br>Shift click to unstack.
|stack_size_currency_tab                 = 5000
|implicit1_text                          = {{c|default|Replaces a}} {{c|value|Small Strength}} {{c|default|Passive Skill}}
|description                             = Grants "Enemies you [[Kill]] have a 2% chance to Explode, dealing a tenth of their maximum [[Life]] as [[Fire Damage]]"
}}
