{{Mod
|id                               = AnimalCharmSpellHinderOnHitChance2
|domain                           = 35
|generation_type                  = 2
|required_level                   = 60
|name                             = of the Occultist
|mod_groups                       = AnimalCharmSpellHinderOnHitChance
|mod_type                         = AnimalCharmSpellHinderOnHitChance
|game_mode                        = 0
|stat_text                        = (20-30)% chance to Hinder Enemies on [[Hit]] with [[Spell|Spells]]
|stat1_id                         = spells_chance_to_hinder_on_hit_%
|stat1_min                        = 20
|stat1_max                        = 30
|spawn_weight1_tag                = int_animal_charm
|spawn_weight1_value              = 500
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
