{{Mod
|id                               = V2AvoidPoisonJewelCorrupted
|domain                           = 10
|generation_type                  = 5
|required_level                   = 1
|mod_groups                       = ChanceToAvoidPoison
|mod_type                         = ChanceToAvoidPoison
|game_mode                        = 0
|stat_text                        = (20-25)% chance to Avoid being [[Poison|Poisoned]]
|stat1_id                         = base_avoid_poison_%
|stat1_min                        = 20
|stat1_max                        = 25
|spawn_weight1_tag                = jewel
|spawn_weight1_value              = 0
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = poison, chaos, ailment
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 1
}}
