{{Mod
|id                               = SentinelSentinelPowerChargeOnUse1
|mod_groups                       = SentinelChargeOnUse
|domain                           = 30
|generation_type                  = 2
|required_level                   = 24
|name                             = of the Assassin
|mod_type                         = SentinelPowerChargeOnUse
|stat_text                        = Character Gains [[Power Charge|Power Charges]] for 15 seconds on deployment
|stat1_id                         = sentinel_drone_player_gains_power_charge_on_summon_ms
|stat1_min                        = 15000
|stat1_max                        = 15000
|spawn_weight1_tag                = special_sentinel_mod
|spawn_weight1_value              = 0
|spawn_weight2_tag                = default
|spawn_weight2_value              = 600
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 5
}}
