{{Mod
|id                               = AuraEffectOnMinionsUnique__1_
|mod_groups                       = AuraEffectOnMinions
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = AuraEffectOnMinions
|stat_text                        = 20% increased effect of Non-Curse Auras from your [[Skill|Skills]] on your [[Minion|Minions]]
|stat1_id                         = minions_have_non_curse_aura_effect_+%_from_parent_skills
|stat1_min                        = 20
|stat1_max                        = 20
|tags                             = minion, aura
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 4
}}
