{{Mod
|id                               = MapRelicAbyssTroveRareSocketChance1
|domain                           = 38
|generation_type                  = 2
|required_level                   = 68
|name                             = of the Abyss
|mod_groups                       = MapRelicAbyssTroveRareSocketChance
|mod_type                         = MapRelicAbyssTroveRareSocketChance
|game_mode                        = 1
|stat_text                        = Abyssal Troves and Stygian Spires in your Maps have (6-10)% chance to drop a Rare Item with an Abyssal [[Item socket|Socket]]
|stat1_id                         = map_abyssal_trove_drop_rare_with_abyss_socket_chance_%
|stat1_min                        = 6
|stat1_max                        = 10
|spawn_weight1_tag                = atlas_relic_small
|spawn_weight1_value              = 1000
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 3
}}
