{{Mod
|id                               = VillageAggravateBleedOnAttack
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = AggravateBleed
|mod_type                         = AggravateBleedOnAttack
|game_mode                        = 0
|stat_text                        = (10-20)% chance to Aggravate Bleeding on targets you [[Hit]] with [[Attack|Attacks]]
|stat1_id                         = base_aggravate_bleeding_on_attack_hit_chance_%
|stat1_min                        = 10
|stat1_max                        = 20
|tags                             = village_runesmithing_enchant
}}
