{{Mod
|id                               = SpellCritChanceJewel
|mod_groups                       = FormCritChance
|domain                           = 10
|generation_type                  = 2
|required_level                   = 1
|name                             = of Annihilation
|mod_type                         = SpellCritChanceForJewel
|stat_text                        = (10-14)% increased [[Critical Strike Chance]] for [[Spell|Spells]]
|stat1_id                         = spell_critical_strike_chance_+%
|stat1_min                        = 10
|stat1_max                        = 14
|spawn_weight1_tag                = not_int
|spawn_weight1_value              = 0
|spawn_weight2_tag                = default
|spawn_weight2_value              = 250
|tags                             = caster, critical
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 5
}}
