{{Item
|rarity_id                               = normal
|name                                    = Tribute to the Goddess
|class_id                                = MapFragment
|size_x                                  = 1
|size_y                                  = 1
|flavour_text                            = You may appeal to the Goddess for another verdict,<br>but justice favours only the truly worthy.
|drop_level                              = 1
|tags                                    = default
|metadata_id                             = Metadata/Items/MapFragments/CurrencyOfferingToTheGoddessTribute
|help_text                               = Travel to the Aspirants' Plaza and spend this item to open the Eternal Labyrinth of Fortune.
|stack_size                              = 1
|description                             = The Labyrinth's rewards have been enriched.
|stack_size_currency_tab                 = 5000
}}
