{{Mod
|id                               = UndyingBreathCurseAuraUniqueStaff5
|mod_groups                       = UndyingBreathCurseAura
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|granted_buff_id                  = unique_dying_breath_curse_aura
|granted_buff_value               = 75
|mod_type                         = UndyingBreathCurseAura
|stat_text                        = 18% increased Effect of [[Curse|Curses]] on you
|stat1_id                         = curse_effect_on_self_+%
|stat1_min                        = 18
|stat1_max                        = 18
|tags                             = caster, curse
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
