{{Mod
|id                               = SanctumSpecialMinionDamage
|mod_groups                       = MinionDamage
|domain                           = 32
|generation_type                  = 1
|required_level                   = 75
|name                             = Leader's
|mod_type                         = MinionDamage
|stat_text                        = [[Minion|Minions]] deal (20-30)% increased Damage
|stat1_id                         = minion_damage_+%
|stat1_min                        = 20
|stat1_max                        = 30
|spawn_weight1_tag                = int_special_relic
|spawn_weight1_value              = 600
|spawn_weight2_tag                = default
|spawn_weight2_value              = 150
|tags                             = damage, minion
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 4
}}
