{{Mod
|id                               = ChilledWhilePoisonedUnique__1
|mod_groups                       = ChilledWhilePoisoned
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = ChilledWhilePoisoned
|stat_text                        = You are Chilled when you are [[Poison|Poisoned]]
|stat1_id                         = chilled_while_poisoned
|stat1_min                        = 1
|stat1_max                        = 1
|tags                             = elemental, cold, ailment
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
