{{Item
|rarity_id                               = normal
|name                                    = Omen of the Soul Devourer
|class_id                                = StackableCurrency
|size_x                                  = 1
|size_y                                  = 1
|drop_level                              = 1
|tags                                    = ui_enable_popup_inventory_total_display, enable_transfer_all_in_player_to_player_trade_window, currency, default
|metadata_id                             = Metadata/Items/Currency/AncestralOmenOnLevelingUpGainSoulEater
|stack_size                              = 1
|description                             = Will be Consumed when you level up<br>to grant Soul Eater for 5 minutes
|help_text                               = Each player can only consume one Omen in each combat area.
}}
