{{Passive skill
|id                                  = AscendancyCustomAscendant50
|int_id                              = 60757
|name                                = Void Battery
|ascendancy_class                    = Ascendant
|is_multiple_choice_option           = True
|icon                                = WandSpeedAccuracyNode
|stat1_id                            = max_power_charges
|stat1_value                         = 1
|stat2_id                            = spell_damage_+%_per_power_charge
|stat2_value                         = 25
|stat_text                           = +1 to Maximum [[Power Charge|Power Charges]]<br>25% increased [[Spell Damage]] per [[Power Charge]]
}}
