{{Mod
|id                               = AddedFireDamageEssence7
|mod_groups                       = FireDamage
|domain                           = 1
|generation_type                  = 1
|required_level                   = 82
|name                             = Essences
|mod_type                         = FireDamage
|stat_text                        = Adds (23-27) to (43-48) [[Fire Damage]] to [[Attack|Attacks]]
|stat1_id                         = attack_minimum_added_fire_damage
|stat1_min                        = 23
|stat1_max                        = 27
|stat2_id                         = attack_maximum_added_fire_damage
|stat2_min                        = 43
|stat2_max                        = 48
|spawn_weight1_tag                = default
|spawn_weight1_value              = 0
|tags                             = elemental_damage, damage, elemental, fire, attack
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 1
}}
