{{Mod
|id                               = AttackCriticalStrikesUnnerveUnique__1
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = ChanceToUnnerveOnHit
|mod_type                         = AttackCriticalStrikesUnnerve
|game_mode                        = 0
|stat_text                        = [[Attack|Attacks]] inflict Unnerve on [[Critical Strike]] for 4 seconds
|stat1_id                         = attacks_inflict_unnerve_on_crit
|stat1_min                        = 1
|stat1_max                        = 1
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
