{{Base item
|rarity_id                               = normal
|name                                    = The Card Sharp
|class_id                                = DivinationCard
|size_x                                  = 1
|size_y                                  = 1
|flavour_text                            = "The house always wins... except when I do."
|drop_level                              = 68
|tags                                    = divination_card, default
|metadata_id                             = Metadata/Items/DivinationCards/DivinationCardTheCardSharp
|stack_size                              = 4
|description                             = {{c|white|Divination Scarab}}
|stack_size_currency_tab                 = 5000
|help_text                               = Shift click to unstack.
}}
