{{Mod
|id                               = VigilantStrikeThresholdJewel__1
|mod_groups                       = VigilantStrikeThresholdJewel
|domain                           = 10
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = VigilantStrikeThresholdJewel
|stat_text                        = With at least 40 [[Strength]] in Radius, [[Hit|Hits]] with [[Vigilant Strike]] Fortify you and Nearby Allies for 8 seconds
|stat1_id                         = local_unique_jewel_vigilant_strike_fortifies_nearby_allies_for_x_seconds_with_50_str_in_radius
|stat1_min                        = 8
|stat1_max                        = 8
|stat2_id                         = local_jewel_effect_base_radius
|stat2_min                        = 1200
|stat2_max                        = 1200
|tags                             = attack
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 4
}}
