{{Passive skill
|id                                  = AscendancyCustomDeadeye2
|int_id                              = 22720
|name                                = we know all
|ascendancy_class                    = Deadeye
|is_notable                          = True
|icon                                = ManaFlasksOften
|stat1_id                            = attack_skills_have_added_lightning_damage_equal_to_%_of_maximum_mana
|stat1_value                         = 4
|stat2_id                            = base_mana_cost_-%
|stat2_value                         = -50
|stat_text                           = [[Attack]] [[Skill|Skills]] have Added [[Lightning Damage]] equal to 4% of maximum [[Mana]]<br>50% increased [[Mana]] Cost of [[Skill|Skills]]
}}
