{{Mod
|id                               = SynthesisImplicitSupportGemQuality1_
|mod_groups                       = SupportGemQuality
|domain                           = 1
|generation_type                  = 3
|required_level                   = 40
|mod_type                         = IncreaseSocketedSupportGemQuality
|stat_text                        = +(2-3)% to Quality of [[Item socket|Socketed]] Support Gems
|stat1_id                         = local_socketed_support_gem_quality_+
|stat1_min                        = 2
|stat1_max                        = 3
|tags                             = gem
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 1
}}
