{{Passive skill
|id                                  = affliction_notable_powerful_ward
|int_id                              = 28384
|name                                = Powerful Ward
|is_notable                          = True
|icon                                = BlockSpellDmgNotable
|stat1_id                            = power_charge_on_block_%_chance
|stat1_value                         = 20
|stat2_id                            = spell_block_%_while_at_max_power_charges
|stat2_value                         = 6
|stat_text                           = 20% chance to gain a [[Power Charge]] when you [[Block]]<br>+6% Chance to [[Block]] [[Spell Damage]] while at Maximum [[Power Charge|Power Charges]]
}}
