{{Mod
|id                               = MonsterTotemIncreasedAuraRange1
|mod_groups                       = MonsterAuraRange
|domain                           = 3
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = MonsterAuraRange
|stat_text                        = 800% increased Area of Effect of Aura [[Skill|Skills]] (Hidden)
|stat1_id                         = base_aura_area_of_effect_+%
|stat1_min                        = 800
|stat1_max                        = 800
|tags                             = aura
}}
