{{Passive skill
|id                                  = affliction_notable_disorienting_wounds
|int_id                              = 42338
|name                                = Disorienting Wounds
|is_notable                          = True
|icon                                = PhysicalDamageOverTimeNotable
|stat1_id                            = bleeding_damage_+%
|stat1_value                         = 25
|stat2_id                            = global_chance_to_blind_on_hit_%_vs_bleeding_enemies
|stat2_value                         = 25
|stat_text                           = 25% increased Damage with Bleeding<br>25% chance to Blind with [[Hit|Hits]] against Bleeding Enemies
}}
