{{Mod
|id                               = MinionAttacksTauntOnHitChanceUnique__1
|mod_groups                       = TauntOnHit
|domain                           = 1
|generation_type                  = 3
|required_level                   = 55
|mod_type                         = MinionAttacksTauntOnHitChance
|stat_text                        = [[Minion|Minions]] have 5% chance to Taunt on [[Hit]] with [[Attack|Attacks]]
|stat1_id                         = minion_attacks_chance_to_taunt_on_hit_%
|stat1_min                        = 5
|stat1_max                        = 5
|tags                             = attack, minion
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 3
}}
