{{Base item
|rarity_id                               = normal
|name                                    = The Hoarder
|class_id                                = DivinationCard
|size_x                                  = 1
|size_y                                  = 1
|flavour_text                            = "More! I want more!" - Faendris, the Insatiable
|drop_level                              = 68
|tags                                    = currency_divination, currency_basic_divination, divination_card, default
|metadata_id                             = Metadata/Items/DivinationCards/DivinationCardTheHoarder
|stack_size                              = 12
|description                             = {{c|currency|{{il|html=|Exalted Orb}}}}
|stack_size_currency_tab                 = 5000
|help_text                               = Shift click to unstack.
}}
