{{Mod
|id                               = MinionLifeEldritchImplicit1
|mod_groups                       = MinionLife
|domain                           = 1
|generation_type                  = 28
|required_level                   = 75
|mod_type                         = MinionLife
|stat_text                        = [[Minion|Minions]] have (14-16)% increased maximum [[Life]]
|stat1_id                         = minion_maximum_life_+%
|stat1_min                        = 14
|stat1_max                        = 16
|spawn_weight1_tag                = no_tier_6_eldritch_implicit
|spawn_weight1_value              = 0
|spawn_weight2_tag                = helmet
|spawn_weight2_value              = 1000
|spawn_weight3_tag                = default
|spawn_weight3_value              = 0
|tags                             = resource, life, minion
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
