{{Base item
|rarity_id                               = normal
|name                                    = Tainted Chromatic Orb
|class_id                                = StackableCurrency
|size_x                                  = 1
|size_y                                  = 1
|drop_level                              = 2
|tags                                    = currency, default
|metadata_id                             = Metadata/Items/Currency/CurrencyHellscapeRerollSocketColours
|stack_size                              = 20
|description                             = Unpredictably reforges the colour of sockets on a corrupted item
|help_text                               = Right click this item then left click a corrupted socketed item to apply it.<br>Shift click to unstack.
|stack_size_currency_tab                 = 5000
}}
