{{Passive skill
|id                                  = affliction_notable_bodyguards
|int_id                              = 11199
|name                                = Bodyguards
|is_notable                          = True
|icon                                = IncreaseMinionLifeNotable
|stat1_id                            = minion_maximum_life_+%
|stat1_value                         = 10
|stat2_id                            = minion_attack_hits_knockback_chance_%
|stat2_value                         = 10
|stat_text                           = [[Minion|Minions]] have 10% increased maximum [[Life]]<br>[[Minion|Minions]] have 10% chance to Knock Enemies Back on [[Hit]] with [[Attack|Attacks]]
}}
