{{Passive skill
|id                                  = shield_block1920
|int_id                              = 15021
|name                                = Shield Block and Elemental Resistances
|icon                                = ElementalResistance2
|stat1_id                            = shield_block_%
|stat1_value                         = 3
|stat2_id                            = resist_all_elements_+%_while_holding_shield
|stat2_value                         = 4
|stat_text                           = +3% Chance to [[Block]] [[Attack Damage]] while holding a [[Shield]]<br>+4% [[Elemental Resistance|Elemental Resistances]] while holding a [[Shield]]
|connections                         = shield_scaling_notable_2791,dual_wield_block1099,shield_scaling_notable_2791
}}
